Model,Price,Description 2,Description,City,District,Region
IPhone 11 идеал 128 ГБ,160 000 тг.,"['Частное лицо', 'В рассрочку: Нет, Все объявления', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","Продам iPhone 11 128 гб ничего лишнего не разбиты, ничего не менялось АКБ 97 всё работает чётко есть коробка документ fase ID True Tone если что можно обмен 13 iPhone","Муткенова,",,Павлодарская область
Айфон 11 128 Оптом / Apple / Iphone / Смартфон / Мобильный / Телефоны,170 000 тг.,"['Бизнес', 'В рассрочку: Да', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 2 сим-карты', 'Операционная система: iOS', 'Диагональ экрана: 5.1""-5.5""', 'Состояние: Новый']","Ас саламу алейкум! Ливер_шоп дүкені оптом және розница Ұялы Телефондар ұсынады.

Марка: Айфон 11
Память: 128 гб
Гарантия: 1 жыл
Подарка: Чехол и стекло тегін.

1. Сатылымда Apple, IPhone, Redmi, Xiaomi, Oppo, Айфон, Редми, Оппо оптом және розницада бар.
2. Одан бөлек қосымша басқада хит тауарлар көп.
3. Қала бойынша ЕҢ ТӨМЕН баға.
4. Әр тауарға өзіндік кепілдік (гарантия) бар.
5.Қазақстан бойынша барлық қалаға ақылы жеткізу бар.
6. Қала ішіне тегін жеткізу қызметі
7. Біздің мекен жайымыз Шымкент қаласы.
Республика 18. Рахат остановка арты, Технозайм ломбард жанында..
8. Жұмыс уақыты 10:00-22:00 дейін.
9. Оптовиктерге арнайы жеңілдіктер мен ұсыныстарымыз бар!
10. Біздің инстаграм: LIVER_SHOP.KZZ

11. Арнайы тауар сатып, сауда жасауды бастаймын деген жандарға керемет мүмкіндіктер..

12. Менің басқа да жарнамаларымды көріңіз,көптеген қызықты тауарлар таба аласыз!!!","Жолбарыса Калшораева,",,Туркестанская область
Iphone 13 128 GB,220 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","Продам Iphone 13, 128 GB AKБ 94%, телефон без царапин, носился в чехле! iOS 17. Пишите вотсап на этом номере","Караганда, Казыбекбийский район",Казыбекбийский район,Карагандинская область
"iPhone 14 256ГB /РАССРОЧКА ДО 60 МЕСЯЦЕВ//""Лидер Ломбард""",235 000 тг.,"['Бизнес', 'В рассрочку: Все объявления', 'Марка телефона: Apple', 'Объем встроенной памяти: 256 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","iPhone 14 256ГB /РАССРОЧКА ДО 60 МЕСЯЦЕВ//""Лидер Ломбард""

- Объем встроенной памяти: 256ГB
- Коробка: нет
- Состояние: 9 /10,
- Аккумулятор - 90%
- ₸ 235 000
- Код товара: т26288

** Kaspi ЖҰМА!!!
** Kaspi Рассрочка/Kaspi Кредит/Kaspi RED!!!
** Eurasian bank
** Freedom bank
** ForteBank
** Centercredit
** Home Credit Bank
** Halyk Bank

** Выдаем юридическую ГАРАНТИЮ!
** Работаем круглосуточно, без выходных!
** Ждем вас по адресу: Толеби 297 уг.ул Прокофьева","Алматы, Алмалинский район",Алмалинский район,Алматинская область
iPhone 12 pro max,210 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 256 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']",В хорошем состоянии. Цвет Pacific Blue,"Костанай,",,Костанайская область
IPhone 13 256 мегабайт,300 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 256 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: 5.55""-6""', 'Состояние: Б/у']","Продам телефон в идеальном состоянии, красного цвета, аккумулятор 88 процентов","Астана, Сарыаркинский район",Сарыаркинский район,Акмолинская область
iPhone 12 pro синий,260 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 256 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: 5.55""-6""', 'Состояние: Б/у']","iPhone 12 pro 256 gb
Цвет: синий
Ёмкость аккумулятора:81%
Есть мелкие царапины на экране, убирается полировкой
Обращается по немеру ватсап 87******104","Шамалган,",,Алматинская область
Apple iPhone 15 Pro 128GB «alo-alo kz» арт. 56070,395 900 тг.,"['Бизнес', 'В рассрочку: Все объявления', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Операционная система: iOS', 'Диагональ экрана: 5.55""-6""', 'Состояние: Б/у']","№56070 - код товара
#цвет: Серый;
#объем встроенной памяти: 128GB;
#оперативная память: 8GB;
#емкость аккумулятора: 3274мAч;
#состояние аккумулятора: 100%;
#комплектация: Нет;
#марка: Apple;
#модель: iPhone 15 Pro;
Гарантия 14 дней!
Доставка по городу!

Товарный и фискальный чек

Наш Адрес: г. Шымкент микрорайон Спортивный 24

ALO-ALO KZ магазин б/у и новой техники","Шымкент, Енбекшинский район",Енбекшинский район,Туркестанская область
Iphone 13 белый,250 000 тг.,"['Частное лицо', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","Чистый
Использовала только для работы Смм
Держала девушка
Очень аккуратно
Есть зарядное устройство, оригинал наушник
Каробка и документы
Аида 87******500","Кирово,",,Туркестанская область
Iphone 8 plus …,50 000 тг.,"['Частное лицо', 'Марка телефона: Другая марка', 'Объем встроенной памяти: 8 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: 5.1""-5.5""', 'Состояние: Б/у']",В хорошом состоянии никаких Минуси нету срочна продается или обмен X Xr. Xs max. 11. 12.13. Я доплата делаю,"Сарыагаш,",,Туркестанская область
