Which_Iphone,Extracted_Model,Price,Memory(GB),battery_percentage,State,Seller,City,Region,Model_Series,Model_Type
13,13,220000,128,94,Б/у,Частное лицо,Караганда,Карагандинская область,13,
14,14,235000,256,90,Б/у,Бизнес,Алматы,Алматинская область,14,
12,12 pro max,210000,256,84,Б/у,Частное лицо,Костанай,Костанайская область,12,pro max
13,13,300000,256,88,Б/у,Частное лицо,Астана,Акмолинская область,13,
12,12 pro,260000,256,81,Б/у,Частное лицо,Шамалган,Алматинская область,12,pro
15,15 pro,395900,128,100,Б/у,Бизнес,Шымкент,Туркестанская область,15,pro
13,13,250000,128,88,Б/у,Частное лицо,Кирово,Туркестанская область,13,
12,12 pro,125000,64,84,Б/у,Бизнес,Караганда,Карагандинская область,12,pro
14,14,310000,128,78,Б/у,Частное лицо,Кентау,Туркестанская область,14,
12,12 pro max,180000,128,86,Б/у,Частное лицо,Атырау,Атырауская область,12,pro max
13,13 pro max,200000,512,85,Б/у,Частное лицо,Туздыбастау,Алматинская область,13,pro max
12,12 pro max,180000,128,84,Б/у,Частное лицо,Астана,Акмолинская область,12,pro max
15,15 pro max,560000,256,94,Новый,Бизнес,Алматы,Алматинская область,15,pro max
12,12,150000,128,84,Б/у,Частное лицо,Тараз,Жамбылская область,12,
13,13 pro max,130000,256,88,Новый,Частное лицо,Атырау,Атырауская область,13,pro max
15,15 pro,415000,256,94,Б/у,Бизнес,Нуркен,Карагандинская область,15,pro
15,15 pro,420000,128,94,Б/у,Частное лицо,Туркестан,Туркестанская область,15,pro
13,13 pro,320000,1024,87,Б/у,Частное лицо,Актау,Мангистауская область,13,pro
13,13,175000,128,80,Б/у,Частное лицо,Байсерке,Алматинская область,13,
14,14 pro max,400000,128,89,Б/у,Бизнес,Алматы,Алматинская область,14,pro max
14,14 pro,300000,128,83,Б/у,Бизнес,Алматы,Алматинская область,14,pro
13,13,250000,128,97,Б/у,Частное лицо,Петропавловск,Северо-Казахстанская область,13,
14,14,260000,128,88,Б/у,Частное лицо,Уральск,Западно-Казахстанская область,14,
12,12,135000,128,81,Б/у,Частное лицо,Чапаево,Карагандинская область,12,
13,13,190000,256,78,Б/у,Частное лицо,Астана,Акмолинская область,13,
13,13 pro,190000,128,82,Б/у,Частное лицо,Алматы,Алматинская область,13,pro
14,14 pro max,350000,256,86,Б/у,Частное лицо,Астана,Акмолинская область,14,pro max
14,14,265000,128,100,Б/у,Частное лицо,Акбулак,Карагандинская область,14,
13,13,260000,128,100,Новый,Частное лицо,Аральск,Кызылординская область,13,
12,12 pro max,300000,128,87,Б/у,Частное лицо,Алматы,Алматинская область,12,pro max
12,12 pro max,350000,128,88,Б/у,Частное лицо,Нура,Актюбинская область,12,pro max
15,15,325000,128,94,Новый,Бизнес,Актау,Западно-Казахстанская область,15,
12,12,139000,128,77,Б/у,Частное лицо,Жезказган,Карагандинская область,12,
13,13 pro,170000,256,88,Б/у,Частное лицо,Алматы,Алматинская область,13,pro
13,13 pro max,270000,512,88,Б/у,Частное лицо,Акбулак,Карагандинская область,13,pro max
15,15 pro,550000,256,100,Новый,Частное лицо,Усть-Каменогорск,Восточно-Казахстанская область,15,pro
12,12 pro,180000,256,84,Б/у,Бизнес,Караганда,Карагандинская область,12,pro
13,13,190000,128,88,Б/у,Бизнес,Тараз,Жамбылская область,13,
13,13,190000,128,86,Б/у,Бизнес,Шымкент,Туркестанская область,13,
14,14 pro,290000,128,88,Б/у,Частное лицо,Карла Маркса,Туркестанская область,14,pro
13,13 pro max,450000,256,85,Новый,Частное лицо,Нуркен,Карагандинская область,13,pro max
15,15 pro max,425000,256,94,Б/у,Бизнес,Акбулак,Карагандинская область,15,pro max
13,13 pro max,300000,128,83,Б/у,Частное лицо,Алматы,Алматинская область,13,pro max
13,13 pro,250000,256,79,Б/у,Частное лицо,Актобе,Актюбинская область,13,pro
14,14 pro,360000,256,88,Б/у,Бизнес,Актобе,Актюбинская область,14,pro
14,14 pro,400000,256,88,Б/у,Частное лицо,Алматы,Алматинская область,14,pro
14,14 pro max,390000,128,88,Б/у,Частное лицо,Жолбарыса Калшораева,Туркестанская область,14,pro max
14,14 pro,340000,128,88,Б/у,Бизнес,Тараз,Жамбылская область,14,pro
13,13 pro max,320000,512,88,Б/у,Частное лицо,Тельмана,Алматинская область,13,pro max
14,14 pro max,379900,128,89,Б/у,Бизнес,Астана,Акмолинская область,14,pro max
15,15 pro,450000,256,94,Б/у,Частное лицо,Алматы,Алматинская область,15,pro
15,15 pro max,510000,512,94,Б/у,Бизнес,Алматы,Алматинская область,15,pro max
15,15 pro,450000,256,99,Б/у,Бизнес,Астана,Акмолинская область,15,pro
16,16 pro max,395000,256,100,Новый,Бизнес,Алматы,Алматинская область,16,pro max
13,13 mini,325000,128,88,Новый,Бизнес,Алматы,Алматинская область,13,mini
13,13,190000,128,88,Б/у,Бизнес,Уральск,Западно-Казахстанская область,13,
15,15 pro,430000,256,94,Б/у,Бизнес,Алматы,Алматинская область,15,pro
15,15 pro,450000,256,94,Б/у,Частное лицо,Алматы,Алматинская область,15,pro
12,12 pro max,300000,256,88,Б/у,Частное лицо,Сарыагаш,Туркестанская область,12,pro max
12,12,230000,64,84,Б/у,Частное лицо,Астана,Акмолинская область,12,
15,15 pro max,680000,1024,100,Новый,Частное лицо,Сатпаев,Карагандинская область,15,pro max
13,13 pro,230000,128,86,Б/у,Частное лицо,Жарсуат,Акмолинская область,13,pro
15,15 pro,390000,128,100,Б/у,Бизнес,Астана,Акмолинская область,15,pro
13,13,210000,128,88,Б/у,Бизнес,Астана,Акмолинская область,13,
14,14 pro max,380000,256,88,Б/у,Частное лицо,Астана,Акмолинская область,14,pro max
13,13,280000,128,88,Новый,Частное лицо,Кульсары,Атырауская область,13,
13,13,160000,128,85,Б/у,Бизнес,Павлодар,Павлодарская область,13,
13,13 pro,240000,256,85,Б/у,Частное лицо,Уральск,Западно-Казахстанская область,13,pro
14,14,250000,128,93,Б/у,Частное лицо,Семей,Восточно-Казахстанская область,14,
12,12,160000,128,99,Б/у,Бизнес,Астана,Акмолинская область,12,
12,12,130000,64,84,Б/у,Бизнес,Актобе,Актюбинская область,12,
13,13 pro max,300000,128,86,Б/у,Частное лицо,Алматы,Алматинская область,13,pro max
14,14 pro max,500000,256,98,Б/у,Частное лицо,Зыряновск,Восточно-Казахстанская область,14,pro max
13,13 pro,240000,256,80,Б/у,Бизнес,Актау,Мангистауская область,13,pro
15,15 pro max,500000,256,90,Б/у,Частное лицо,Костанай,Костанайская область,15,pro max
12,12 pro,160000,64,84,Б/у,Частное лицо,Усть-Каменогорск,Восточно-Казахстанская область,12,pro
16,16,390000,128,99,Новый,Бизнес,Алматы,Алматинская область,16,
14,14 pro max,360000,256,88,Б/у,Бизнес,Астана,Акмолинская область,14,pro max
12,12 pro max,350000,128,84,Б/у,Частное лицо,Астана,Акмолинская область,12,pro max
16,16,465000,512,99,Новый,Бизнес,Астана,Акмолинская область,16,
13,13 pro max,570000,256,88,Б/у,Частное лицо,Талдыкорган,Алматинская область,13,pro max
15,15 pro,430000,128,92,Б/у,Бизнес,Усть-Каменогорск,Восточно-Казахстанская область,15,pro
16,16 pro max,689000,256,99,Новый,Частное лицо,Петропавловск,Северо-Казахстанская область,16,pro max
15,15 plus,330000,256,93,Б/у,Бизнес,Актау,Мангистауская область,15,plus
13,13,313000,256,86,Б/у,Частное лицо,Алматы,Алматинская область,13,
13,13 pro max,255000,128,88,Б/у,Бизнес,Караганда,Карагандинская область,13,pro max
15,15 pro max,454990,256,96,Б/у,Бизнес,Алматы,Алматинская область,15,pro max
13,13,200000,128,89,Б/у,Бизнес,Семей,Восточно-Казахстанская область,13,
15,15 pro max,520000,256,94,Б/у,Частное лицо,Астана,Акмолинская область,15,pro max
13,13 pro,240000,128,88,Б/у,Частное лицо,Усть-Каменогорск,Восточно-Казахстанская область,13,pro
15,15 pro max,440000,256,94,Б/у,Бизнес,Алматы,Алматинская область,15,pro max
13,13,200000,128,88,Б/у,Бизнес,Актобе,Актюбинская область,13,
12,12 pro,136000,256,80,Б/у,Бизнес,Балхаш,Карагандинская область,12,pro
14,14 pro,370000,256,88,Б/у,Частное лицо,Нуркен,Карагандинская область,14,pro
13,13,220000,128,87,Б/у,Частное лицо,им.Жанкожа батыра,Кызылординская область,13,
12,12 pro,200000,256,84,Б/у,Бизнес,Темиртау,Карагандинская область,12,pro
15,15 pro,400000,128,100,Б/у,Частное лицо,Алматы,Алматинская область,15,pro
13,13,325000,128,88,Новый,Бизнес,Алматы,Алматинская область,13,
14,14 pro,300000,128,88,Б/у,Частное лицо,Султанрабат,Туркестанская область,14,pro
13,13 pro,310000,256,100,Б/у,Бизнес,Астана,Акмолинская область,13,pro
